Name,Birthdate,ImageURLs
"AJ Dee","1982-07-27",""
"AJ Muhlach","1992-05-20",""
"AJ Perez","1993-02-17",""
"Aaron Agassi","1988-03-29",""
"Abel Estanislao","1995-05-19",""
"Abra (rapper)","1988-12-01",""
"Ace Vergel","1954-11-20",""
"Adrian Alandy","1980-02-07",""
"Aga Muhlach","1969-08-12",""
"Ahron Villena","1987-03-10",""
"Akira Morishita","2001-04-27",""
"Al Tantay","1957-03-15",""
"Albert Martinez","1961-04-19",""
"Albie Casiño","1993-05-14",""
"Alden Richards","1992-01-02",""
"Alex Castro","1985-09-27",""
"Alex Vincent Medina","1986-05-26",""
"Alfonso Martinez (actor)","1988-05-19",""
"Alfred Labatos","1992-06-30",""
"Alfred Vargas","1979-10-24",""
"Aljur Abrenica","1990-03-24",""
"Allan K.","1958-12-13",""
"Allan Paule","1963-12-24",""
"Allen Ansay","2003-11-23",""
